Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Lag_Sales_D-7,Lag_Inventory_D-1,Target_Sales_D+7,Day_of_Week
05-01-2022,S001,P0001,Groceries,South,238,147,37,150.27,28.46,20,Sunny,1,29.4,Winter,127,85,941,2
06-01-2022,S004,P0001,Groceries,South,185,101,69,106.55,16.86,20,Cloudy,0,12.11,Autumn,104,238,1163,3
07-01-2022,S005,P0001,Groceries,East,227,97,77,97.73,41.28,15,Snowy,1,44,Spring,81,185,1018,4
08-01-2022,S002,P0001,Groceries,North,349,341,198,348.41,90.22,20,Rainy,1,87.58,Summer,67,227,1088,5
09-01-2022,S002,P0001,Groceries,South,361,155,102,149.74,78.43,15,Cloudy,1,82.14,Winter,66,349,1036,6
10-01-2022,S002,P0001,Groceries,West,117,42,158,56.12,31.79,5,Snowy,0,29.67,Autumn,3,361,771,0
10-01-2022,S004,P0001,Groceries,East,310,280,145,279.05,20.82,0,Cloudy,0,17.27,Winter,58,117,655,0
13-01-2022,S003,P0001,Groceries,West,218,2,108,-7.96,83.14,10,Sunny,1,82.45,Autumn,147,310,676,3
13-01-2022,S004,P0001,Groceries,West,206,171,65,188.57,35.78,20,Rainy,1,32.92,Summer,101,218,572,3
14-01-2022,S002,P0001,Groceries,West,81,45,121,40.43,35.05,20,Sunny,0,35.31,Winter,97,206,667,4
14-01-2022,S003,P0001,Groceries,East,159,76,124,85.52,22.88,20,Cloudy,1,19.15,Autumn,341,81,666,4
14-01-2022,S004,P0001,Groceries,South,93,39,180,37.77,64.07,20,Rainy,0,68.04,Winter,155,159,690,4
14-01-2022,S005,P0001,Groceries,East,65,63,121,62.67,30.03,10,Sunny,0,27,Spring,42,93,710,4
15-01-2022,S001,P0001,Groceries,North,290,176,94,170.06,98.04,10,Rainy,1,98.2,Spring,280,65,720,5
16-01-2022,S001,P0001,Groceries,East,104,97,189,114.65,11.39,15,Snowy,0,7.96,Winter,2,290,878,6
16-01-2022,S004,P0001,Groceries,East,213,170,59,184.27,68.89,5,Snowy,1,73.87,Autumn,171,104,1077,6
17-01-2022,S001,P0001,Groceries,East,134,69,95,73.59,95.27,0,Rainy,1,92.6,Summer,45,213,1191,0
17-01-2022,S003,P0001,Groceries,North,172,96,31,95.98,69.29,20,Rainy,1,65.89,Winter,76,134,1110,0
18-01-2022,S002,P0001,Groceries,North,126,49,53,46.06,25.42,10,Rainy,0,24.05,Spring,39,172,1409,1
18-01-2022,S003,P0001,Groceries,West,444,221,31,219.76,93.41,20,Rainy,1,92.03,Spring,63,126,1537,1
18-01-2022,S004,P0001,Groceries,North,480,375,148,368.33,15.05,20,Cloudy,1,12.79,Spring,176,444,1521,1
19-01-2022,S001,P0001,Groceries,West,431,211,139,228.92,97.97,10,Cloudy,0,95.06,Summer,97,480,1382,2
19-01-2022,S002,P0001,Groceries,East,159,89,168,88.02,27.97,0,Sunny,1,27.6,Autumn,170,431,1097,2
19-01-2022,S003,P0001,Groceries,East,482,368,66,387.18,19.35,20,Sunny,1,22.79,Spring,69,159,1101,2
20-01-2022,S002,P0001,Groceries,North,335,224,132,231.66,74.03,5,Sunny,0,69.72,Winter,96,482,1027,3
21-01-2022,S005,P0001,Groceries,East,283,33,78,34.74,44.04,15,Sunny,0,42.55,Winter,49,335,938,4
22-01-2022,S005,P0001,Groceries,North,213,82,67,94.63,63.57,10,Sunny,1,64.3,Autumn,221,283,909,5
24-01-2022,S005,P0001,Groceries,South,113,90,116,89.35,68.26,5,Snowy,1,68.14,Spring,375,213,1226,0
27-01-2022,S002,P0001,Groceries,North,224,215,174,228.71,94.27,0,Sunny,0,92.87,Autumn,211,113,1155,3
28-01-2022,S002,P0001,Groceries,South,134,15,73,24.41,25.09,20,Rainy,1,30.07,Summer,89,224,1150,4
01-02-2022,S001,P0001,Groceries,East,419,279,84,297.26,34.49,0,Sunny,0,33.85,Summer,368,134,1155,1
03-02-2022,S005,P0001,Groceries,East,203,195,102,197.29,73.01,10,Snowy,0,68.02,Spring,224,419,1221,3
05-02-2022,S001,P0001,Groceries,South,458,350,182,362.43,51.44,15,Snowy,0,51.54,Summer,33,203,958,5
05-02-2022,S004,P0001,Groceries,East,53,11,186,7.25,40.6,15,Sunny,1,45.11,Spring,82,458,1029,5
06-02-2022,S002,P0001,Groceries,East,396,85,125,75.65,87.64,0,Cloudy,0,92.39,Summer,90,53,742,6
08-02-2022,S002,P0001,Groceries,East,470,220,187,221.48,18.08,10,Cloudy,1,21.06,Winter,215,396,758,1
08-02-2022,S003,P0001,Groceries,North,116,81,121,74.68,85.69,0,Sunny,1,87.98,Autumn,15,470,687,1
09-02-2022,S001,P0001,Groceries,South,209,16,143,22.37,90.55,0,Rainy,0,90.2,Autumn,279,116,571,2
10-02-2022,S004,P0001,Groceries,West,495,266,186,265.08,40.46,10,Cloudy,0,40.25,Summer,195,209,809,3
